Date,Volatility
2012-01-04,0.027511596408375822
2012-01-05,0.02572893402540229
2012-01-06,0.02419831976139192
2012-01-09,0.022788685400169595
2012-01-10,0.02162864740247915
2012-01-11,0.020547601986408513
2012-01-12,0.019517291144017165
2012-01-13,0.01863240055696813
2012-01-17,0.017681818853090354
2012-01-18,0.01683669881571261
2012-01-19,0.016167179248051108
2012-01-20,0.015568465708246937
2012-01-23,0.015037127014254269
2012-01-24,0.014613482125364
2012-01-25,0.01418867051347145
2012-01-26,0.013852070947161364
2012-01-27,0.013608830684594628
2012-01-30,0.013348105686045532
2012-01-31,0.013191666154991323
2012-02-01,0.0131216599449747
2012-02-02,0.013015809511496895
2012-02-03,0.012926887213632627
2012-02-06,0.012823966281379601
2012-02-07,0.012581684441768482
2012-02-08,0.01233672804986287
2012-02-09,0.012145119064741215
2012-02-10,0.011963251887666103
2012-02-13,0.011858246285868197
2012-02-14,0.011852598234275024
2012-02-15,0.0118743015974366
2012-02-16,0.011843859794133816
2012-02-17,0.011852188827573152
2012-02-21,0.011907579384821738
2012-02-22,0.012035304604487191
2012-02-23,0.012081875881042058
2012-02-24,0.012176894043981376
2012-02-27,0.012315349436366928
2012-02-28,0.01243132320767432
2012-02-29,0.012440940583213895
2012-03-01,0.012466280258553427
2012-03-02,0.012252284536075242
2012-03-05,0.012113482367911562
2012-03-06,0.012061226189572742
2012-03-07,0.011973850312341766
2012-03-08,0.011965370110328154
2012-03-09,0.011803026577638515
2012-03-12,0.011746463633972193
2012-03-13,0.011727166045829747
2012-03-14,0.011741226616973249
2012-03-15,0.01177892180034802
2012-03-16,0.011643813294254365
2012-03-19,0.01150809081210792
2012-03-20,0.0114063161895638
2012-03-21,0.01128728063043923
2012-03-22,0.011278052672529112
2012-03-23,0.011261196988300831
2012-03-26,0.011133488921448812
2012-03-27,0.011029397910958985
2012-03-28,0.010967659353867672
2012-03-29,0.010922276588230704
2012-03-30,0.01094215535377665
2012-04-02,0.010978239652565067
2012-04-04,0.011064449520450414
2012-04-05,0.011141230979623568
2012-04-10,0.01126485035930704
2012-04-11,0.01132724521344257
2012-04-12,0.011383375092219414
2012-04-13,0.011518858662372499
2012-04-16,0.01172589475442446
2012-04-17,0.01180818051685758
2012-04-18,0.011932082021941032
2012-04-19,0.011958171884778872
2012-04-20,0.011976806887018129
2012-04-23,0.012066242745862174
2012-04-24,0.012111720264135225
2012-04-25,0.01217507197944493
2012-04-26,0.01228341536915939
2012-04-27,0.012377533741931594
2012-04-30,0.01251648365887473
2012-05-01,0.012748327332301933
2012-05-02,0.012980189492251796
2012-05-03,0.013225319073235493
2012-05-04,0.013474356824832633
2012-05-08,0.01339671077277612
2012-05-09,0.013369287580190646
2012-05-10,0.013350358022429445
2012-05-11,0.013372319502736988
2012-05-14,0.013527952006200336
2012-05-15,0.013583191956463143
2012-05-16,0.013705744982593679
2012-05-17,0.013854215114494351
2012-05-18,0.014088019966655093
2012-05-21,0.01431134069029301
2012-05-22,0.014622894417369784
2012-05-23,0.015016217413927764
2012-05-24,0.015220582947782653
2012-05-25,0.015522059877368042
2012-05-29,0.015930201867221806
2012-05-30,0.01646365063798836
2012-05-31,0.01676974913610903
2012-06-01,0.017142657412378717
2012-06-04,0.017055757706067817
2012-06-05,0.017074607596326705
2012-06-06,0.0171135373814296
2012-06-07,0.017068185226304346
2012-06-08,0.01714234625348376
2012-06-11,0.017073392343971417
2012-06-12,0.017070560924516046
2012-06-13,0.017032294576138488
2012-06-14,0.01710419190469937
2012-06-15,0.017224149571307013
2012-06-18,0.01740314771631223
2012-06-19,0.01756010748107147
2012-06-20,0.017769634893154043
2012-06-21,0.018043483060334438
2012-06-22,0.018006859394540366
2012-06-25,0.018047937931568298
2012-06-26,0.01819724526271738
2012-06-27,0.018303934275307653
2012-06-28,0.018443238666509255
2012-06-29,0.018574574684093677
2012-07-02,0.01852917095458348
2012-07-03,0.01847331924619337
2012-07-05,0.01816202639371464
2012-07-06,0.017870475107725253
2012-07-09,0.017387609650054897
2012-07-10,0.016968778796411194
2012-07-11,0.01662376364343458
2012-07-12,0.01636804009837742
2012-07-13,0.016232211717542216
2012-07-16,0.0159517592344225
2012-07-17,0.015787634911081108
2012-07-18,0.015578421907372885
2012-07-19,0.015333016268752248
2012-07-20,0.015082537183029881
2012-07-23,0.014914740721261102
2012-07-24,0.014546620361822027
2012-07-25,0.01428998739472762
2012-07-26,0.01404388956973837
2012-07-27,0.013648652358151367
2012-07-30,0.013283859199383335
2012-07-31,0.01301520905773864
2012-08-01,0.01280131921494408
2012-08-02,0.012618933263605433
2012-08-03,0.012489850951698932
2012-08-06,0.012272631621338612
2012-08-07,0.012113718696908953
2012-08-08,0.011836617482151403
2012-08-09,0.011575758597779527
2012-08-10,0.011425659193026934
2012-08-13,0.011352066927046134
2012-08-14,0.011249781496665433
2012-08-15,0.011202430705734923
2012-08-16,0.011080570197760143
2012-08-17,0.011013063043988238
2012-08-20,0.01097707805776625
2012-08-21,0.011001779373968453
2012-08-22,0.011076244863433215
2012-08-23,0.01121732781773142
2012-08-24,0.011328626029958294
2012-08-27,0.011426718133812621
2012-08-28,0.011427698306901008
2012-08-29,0.01144130444607729
2012-08-30,0.01150996343843078
2012-08-31,0.011625242841821423
2012-09-04,0.011742469495228579
2012-09-05,0.011855687762432432
2012-09-06,0.011972104789630776
2012-09-07,0.012114214305999082
2012-09-10,0.01227658511214178
2012-09-11,0.012482124572285746
2012-09-12,0.01277218973885458
2012-09-13,0.013119161000094793
2012-09-14,0.013459454802754083
