,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
tau,1838.612,98.526,1735.0,1950.0,68.387,2.642,3.0,137.0,1.86
mu_before,-0.0,0.0,-0.001,0.0,0.0,0.0,2915.0,1320.0,1.0
mu_after,0.0,0.001,-0.002,0.003,0.0,0.0,2007.0,1353.0,1.01
sigma_before,0.019,0.0,0.018,0.02,0.0,0.0,8.0,232.0,1.19
sigma_after,0.044,0.002,0.04,0.047,0.001,0.0,3.0,67.0,1.74
