Metric,Price_Full,LogReturn_2012_2022
Mean,48.42408879023307,-6.222803852008813e-05
Median,38.6,0.0006026949254716203
Std Dev,32.86043456791336,0.029485786209260356
Min,9.1,-0.6436989051459642
Max,143.95,0.4120225086543235
Skewness,0.7650202184507956,-2.9217089486878156
Kurtosis,-0.6109791596751899,107.20297462370883
